"","Genus","Species","Group","Acclim.Time","CoolRate","HeatRate","Latitude","Longitude","Habitat","MaxCtmax","MinCtmin","CtmaxARR","CtminARR","Seasonality","Ref"
"238","Epitheca","cynosura","insect",2,NA,2,33.289983,-81.727939,"fw",41.4,NA,0.07,NA,6.946,"[89]"
"239","Ladona","deplanata","insect",2,NA,2,33.289983,-81.727939,"fw",41.8,NA,0.05,NA,6.946,"[89]"
"240","Celithemis","spp","insect",2,NA,2,33.289983,-81.727939,"fw",42.2,NA,0.15,NA,6.946,"[89]"
"241","Libellula","auripennis","insect",2,NA,2,33.289983,-81.727939,"fw",44,NA,0.12,NA,6.946,"[89]"
"242","Libellula","auripennis","insect",2,NA,2,33.289983,-81.727939,"fw",45.6,NA,0.23,NA,6.946,"[89]"
"243","Pachydiplax","longipennis","insect",2,NA,2,33.289983,-81.727939,"fw",43.5,NA,0.11,NA,6.946,"[89]"
"244","Pachydiplax","longipennis","insect",2,NA,2,33.289983,-81.727939,"fw",44.1,NA,0.15,NA,6.946,"[89]"
"245","Macromia","illinoiensis","insect",2,NA,2,33.289983,-81.727939,"fw",39.5,NA,0.06,NA,6.946,"[89]"
"246","Hydropsyche","simulans","insect",3,NA,0.3,32.937622,-98.246992,"fw",37.4,NA,0.22,NA,8.019,"[90]"
"247","Chimarra","obscura","insect",3,NA,0.3,32.937622,-98.246992,"fw",38.3,NA,0.49,NA,8.019,"[90]"
"248","Blaptica","dubia","insect",7,NA,1,-14.33,NA,"t",49.2,NA,0.06,NA,NA,"[91]"
"249","Eublaberus","posticus","insect",7,NA,1,-12.035,NA,"t",47.3,NA,0.02,NA,NA,"[91]"
"250","Blaberus","discoidalis","insect",7,NA,1,18.1,NA,"t",45.6,NA,-0.03,NA,NA,"[91]"
"251","Merizodus","soledadinus","insect",7,0.5,0.5,-54.28,NA,"t",38,-5.5,0.01,0.16,NA,"[92]"
"252","Cyrtobagous","salvineae","insect",7,0.25,0.25,-26.4,NA,"t",47.9,6.4,0.04,0.11,NA,"[93]"
"253","Tenebrio","molitor","insect",7,0.25,0.25,53.73,NA,"t",44.9,3,0.1,0.22,NA,"[93]"
"254","Ceratitis","capitata","insect",10,0.25,0.25,34.55,NA,"t",42,6.4,0.15,0.23,NA,"[94]"
"255","Trichocorixa","verticalis","insect",3,1,1,36.84,NA,"t",44.9,-6.4,0.22,0.03,NA,"[84]"
"256","Nilaparvata","lugens","insect",18,0.5,0.5,25.415,NA,"t",37.3,8.1,0.09,0.56,NA,"[95]"
"257","Solenopsis","invicta","insect",7,1,0.43,-25.34,NA,"t",41.8,1.1,0.1,0.15,NA,"[96]"
"258","Cydia","pomonella","insect",6,0.25,0.25,52.62,NA,"t",43.7,0,0.17,0.32,NA,"[97]"
"259","Phrynocephalus","guinanensis","rept",21,0.175,0.175,35.57,101.08,"t",46.6,1.9,0.08,0.17,8.064,"[98]"
"260","Phrynocephalus","vlangalii","rept",21,0.175,0.175,36.57,101.82,"t",46.5,1.4,0.12,0.23,8.449,"[98]"
"261","Phrynocephalus","versicolor","rept",21,0.175,0.175,41.45,106.98,"t",47.1,4.8,0.04,0.4,11.905,"[98]"
"262","Anolis","distichus","rept",7,NA,NA,25.73079,-80.237708,"t",40.6,NA,0.2,NA,3.071,"[99]"
"263","Anolis","sagrei","rept",7,NA,NA,25.73079,-80.237708,"t",41.9,NA,0.14,NA,3.071,"[99]"
"264","Takydromus","septentrionalis","rept",21,0.25,0.25,29.93,121.85,"t",44.4,4.9,0.15,0.22,7.915,"[100]"
"265","Eremias","argus","rept",21,0.25,0.25,36.1,111.33,"t",45,8,0.04,0.25,9.705,"[101]"
"266","Eremias","brenchleyi","rept",21,0.25,0.25,33.63,116.98,"t",44.5,5,0.2,0.42,9.542,"[101]"
"267","Eremias","multiocellata","rept",21,0.25,0.25,41.45,106.98,"t",43.5,9.2,0.24,0.28,11.905,"[101]"
"268","Takydromus","hsuehshanensis","rept",14,0.75,0.75,23.84,120.99,"t",44.1,2.1,0.05,0.13,3.11,"[102]"
"269","Takydromus","stejnegeri","rept",14,0.75,0.75,25.09,121.56,"t",43.7,5.2,0.05,0.05,4.713,"[102]"
"270","Takydromus","formosanus","rept",14,0.75,0.75,25.09,121.56,"t",43.3,4.5,0.03,0.12,4.713,"[102]"
"271","Thamnophis","elegans","rept",13,NA,NA,40.802481,-105.591663,"t",44.3,NA,0.03,NA,7.568,"[103]"
"272","Uta","mearnsii","rept",8.5,NA,0.02,33.93,-116.64,"t",44.8,NA,0.11,NA,6.47,"[104]"
"273","Urosaurus","ornatus","rept",8,NA,0.02,32.271892,-110.843499,"t",44.5,NA,0.13,NA,7.067,"[105]"
"274","Shenomorphus","taiwanensis","rept",14,0.75,0.75,23.84,120.99,"t",38.4,5.3,0.06,0.17,3.11,"[106]"
"275","Shenomorphus","incognitus","rept",14,0.75,0.75,22.04,121.55,"t",41.5,11.7,0.22,0.09,2.581,"[106]"
"276","Trimeresurus","gracilis","rept",14,0.25,0.25,23.84,120.99,"t",38.3,3.7,0.04,0.2,3.11,"[107]"
"277","Trimeresurus","stejnegeri","rept",14,0.25,0.25,25.09,121.56,"t",38.9,5.6,0.04,0.13,4.713,"[107]"
"278","Trimeresurus","mucrosquamatus","rept",14,0.25,0.25,25.09,121.56,"t",38.6,3.5,0.05,0.21,4.713,"[107]"
"279","Chelydra","serpentina","rept",21,NA,1,42.964303,-78.950037,"t",41.4,NA,0.18,NA,9.189,"[108]"
"280","Chrysemys","picta","rept",14,NA,NA,41.480379,-71.52256,"t",41,NA,0.07,NA,8.176,"[109]"
"281","Anolis","carolinensis","rept",14,0.75,1,30.3,NA,"t",45.1,11.1,0.16,0.27,NA,"[110]"
"282","Nerodia","rhombifera","rept",14,NA,NA,33.74,NA,"t",41,6,0.07,0.17,NA,"[111]"
"283","Thamnophis","proximus","rept",14,NA,NA,33.74,NA,"t",42,4.2,0.21,0.24,NA,"[111]"
"284","Sceloporus","occidentalis","rept",14,0.75,1,35.9,NA,"t",44.5,8.9,-0.01,0.3,NA,"[110]"
"285","Phrynosoma","cornutum","rept",14,0.75,1,31.7,NA,"t",48,6.1,0.06,0.25,NA,"[110]"
"286","Xantusia","vigilis","rept",14,0.75,1,30.6,NA,"t",44,4.2,0.2,0.2,NA,"[110]"
"287","Pelodiscus","sinensis","rept",28,0.3,0.3,23.19,NA,"t",41.8,2.6,0.14,0.12,NA,"[112]"
