"","Genus","Species","Group","Acclim.Time","CoolRate","HeatRate","Latitude","Longitude","Habitat","MaxCtmax","MinCtmin","CtmaxARR","CtminARR","Seasonality","Ref"
"81","Cryptobranchus","alleganiensis","amph",14,NA,NA,36.672006,-92.381362,"fw",36.6,NA,0.2,NA,8.615,"[11]"
"82","Necturus","maculosus","amph",14,NA,1,45.638378,-89.413769,"fw",35.7,NA,0.17,NA,11,"[12]"
"83","Desmognathus","fuscus","amph",7,0.75,0.75,39.777825,-84.689749,"t",34.9,-2.3,0.08,0.19,9.225,"[13]"
"84","Eurycea","bislineata","amph",7,0.75,0.75,39.777825,-84.689749,"t",35.5,-2,0.11,0.23,9.225,"[14]"
"85","Desmognathus","quadramaculatus","amph",5,0.65,NA,35.0964,-83.719914,"t",NA,-2.5,NA,0.31,6.997,"[15]"
"86","Desmognathus","monticola","amph",5,0.65,NA,35.0964,-83.719914,"t",NA,-1.4,NA,0.27,6.997,"[15]"
"87","Desmognathus","ochrophaeus","amph",5,0.65,NA,35.0964,-83.719914,"t",NA,-1.8,NA,0.28,6.997,"[15]"
"88","Plethodon","jordani","amph",5,0.65,NA,35.0964,-83.719914,"t",NA,-2,NA,0.19,6.997,"[15]"
"89","Triturus","dobrogicus","amph",70,NA,0.5,46.891402,19.443249,"fw",37.9,NA,0.11,NA,7.771,"[16]"
"90","Notophthalmus","viridescens","amph",30,NA,0.55,36.494084,-81.119608,"t",42.7,NA,0.21,NA,7.314,"[10]"
"91","Bufo","boreas","amph",14,NA,1,35,NA,"t",36.5,NA,0.1,NA,NA,"[2]"
"92","Pseudacris","regilla","amph",14,NA,1,35,NA,"t",37.7,NA,0.2,NA,NA,"[2]"
"93","Leptodactylus","melanotus","amph",14,NA,1,30,NA,"t",39.8,NA,0.56,NA,NA,"[2]"
"94","Rana","pipiens","amph",14,NA,1,45,NA,"t",35.4,NA,0.16,NA,NA,"[2]"
"95","Rana","pipiens","amph",14,NA,1,17,NA,"t",35.2,NA,0.21,NA,NA,"[2]"
"96","Rana","pipiens","amph",14,NA,1,17,NA,"t",37,NA,0.33,NA,NA,"[2]"
"97","Rana","boylei","amph",14,NA,1,42,NA,"t",34,NA,0.12,NA,NA,"[2]"
"98","Scaphiopus","hammondii","amph",14,NA,1,31,NA,"t",40,NA,0.27,NA,NA,"[2]"
"99","Cancer","pagurus","crust",21,NA,0.2,54.691745,-1.163,"sw",30.6,NA,0.49,NA,3.277097022,"[17]"
"100","Crangon","crangon","crust",14,0.2,0.75,50.336971,-4.150181,"sw",35.4,-1.1,0.2,0.28,2.723084514,"[18, 19]"
"101","Palaemonetes","varians","crust",120,NA,0.93,48.657117,-1.624435,"sw",35.9,NA,0.5,NA,3.15386667,"[20]"
"102","Palaemon","elegans","crust",7,NA,0.75,50.356989,-4.126444,"sw",35,NA,0.3,NA,2.723084514,"[18]"
"103","Palaemon","serratus","crust",7,NA,0.75,50.352533,-4.132247,"sw",33.5,NA,0.31,NA,2.723084514,"[18]"
"104","Palaemon","varians","crust",7,NA,0.75,50.724786,-1.517822,"sw",36,NA,0.23,NA,3.172358568,"[18]"
"105","Palaemon","montagui","crust",7,NA,0.75,51.492167,0.848306,"sw",27.6,NA,0.26,NA,3.572310562,"[18]"
"106","Farfantepenaeus","aztecus","crust",21,NA,1,21.614092,-97.546388,"sw",42,NA,0.5,NA,2.594699803,"[21]"
"107","Carcinus","maenas","crust",21,NA,0.2,54.691745,-1.163,"sw",35.8,NA,0.16,NA,3.277097022,"[17]"
"108","Hemigrapsus","nudus","crust",14,0.5,0.5,48.898884,-125.23,"sw",33.6,3.5,0.42,0.22,2.505196373,"[22]"
"109","Saduria","entomon","crust",14,NA,0.2,60.37347,22.0473,"sw",27.5,NA,0.11,NA,5.756155786,"[23]"
"110","Paramelita","nigroculus","crust",12,NA,1.4,-33.966667,18.416667,"fw",35.3,NA,0.17,NA,2.851,"[24]"
"111","Orchestia","gammarellus","crust",10,NA,1,65.923611,-22.431389,"t",38.6,NA,0.14,NA,4.285,"[25]"
"112","Orchestia","gammarellus","crust",10,NA,1,65.821111,-22.488611,"t",37.9,NA,0.15,NA,4.294,"[25]"
"113","Orchestia","gammarellus","crust",10,NA,1,63.797778,-22.72,"t",37.7,NA,0.17,NA,3.774,"[25]"
"114","Orchestia","gammarellus","crust",10,NA,1,64.019722,-22.155278,"t",37.9,NA,0.19,NA,3.986,"[25]"
"115","Oronectes","rusticus","crust",6,NA,0.6,39.440463,-84.522219,"fw",41.3,NA,0.24,NA,9.083,"[26]"
"116","Oronectes","virilis","crust",6,NA,0.6,39.440463,-84.522219,"fw",39.2,NA,0.18,NA,9.083,"[26]"
"117","Macrobrachium","tenellum","crust",21,NA,1,26.900053,-112,"fw",43,NA,0.58,NA,5.293,"[27]"
"118","Macrobrachium","acanthurus","crust",30,1,1,18.366672,-92.866669,"fw",39.8,11,0.48,0.44,1.894,"[28]"
"119","Macrobrachium","malcolmsonii","crust",30,NA,0.3,11.483078,79.77293,"fw",41.4,NA,0.37,NA,2.506,"[29]"
"120","Asellus","aquaticus","crust",15,NA,0.2,60.451813,22.26663,"fw",34.9,NA,0.58,NA,7.957,"[30]"
"121","Homarus","americanus","crust",21,NA,0.75,41.9,NA,"sw",30,NA,0.31,NA,NA,"[31]"
"122","Macrobrachium","rosenbergii","crust",28,1,1,3.96,NA,"sw",42,10.5,0.47,0.5,NA,"[32]"
"123","Palaemon","macrodactylus","crust",7,NA,0.75,28.16,NA,"sw",37.8,NA,0.39,NA,NA,"[18]"
"124","Litopenaeus","vannamei","crust",30,0.02,0.02,12.17,NA,"sw",42.2,7.5,0.41,0.24,NA,"[33]"
"125","Penaeus","merguiensis","crust",21,0.02,NA,NA,NA,"sw",NA,5.3,NA,0.42,NA,"[34]"
"126","Penaeus","semisulcatus","crust",30,NA,NA,NA,NA,"sw",NA,6.4,NA,0.27,NA,"[35]"
"127","Portunus","pelagicus","crust",21,0.2,0.2,22.12,NA,"sw",42.3,11.6,0.22,0.37,NA,"[36]"
"128","Fundulus","heteroclitus","fish",21,0.3,0.3,42.923704,-70.8,"sw",41.8,-1.1,0.41,0.29,5.506663297,"[37]"
"129","Fundulus","heteroclitus","fish",21,0.3,0.3,31.149953,-81.3,"sw",42.5,-1.1,0.36,0.35,3.923082995,"[37]"
"130","Liza","viagiensis","fish",14,0.31,0.31,-5.464722,123.789,"sw",44.5,9.9,0.3,0.42,1.006628034,"[38]"
"131","Apogon","novemfasciatus","fish",14,0.31,0.31,-5.464722,123.789,"sw",40.1,12.9,0.39,0.4,1.006628034,"[38]"
"132","Gibbonsia","elegans","fish",7,0.05,0.07,34.448598,-120.471551,"sw",31.6,3,0.14,0.24,1.703308112,"[39]"
"133","Gibbonsia","montereyensis","fish",7,0.05,0.07,35.643859,-121.190753,"sw",29.3,2.1,0.22,0.17,1.631129057,"[39]"
"134","Bathygobuis","fuscus","fish",14,0.31,0.31,-5.464722,123.789,"sw",42.4,9.2,0.14,0.29,1.006628034,"[38]"
"135","Bathygobuis","spp","fish",14,0.31,0.31,-5.464722,123.789,"sw",42.7,10.2,0.17,0.24,1.006628034,"[38]"
"136","Notolabrus","celidotus","fish",28,0.03,0.03,-43.603,172.84,"sw",32.4,3.5,0.38,0.47,2.116022928,"[40]"
"137","Pagothenia","borchgrevinki","fish",21,NA,0.3,-77.498275,165.00349,"sw",15.2,NA,0.54,NA,0.466910075,"[41]"
"138","Trematomus","pennelii","fish",21,NA,0.3,-77.498275,165.00349,"sw",15.4,NA,0.53,NA,0.466910075,"[41]"
"139","Trematomus","hansoni","fish",21,NA,0.3,-77.498275,165.00349,"sw",15.4,NA,0.39,NA,0.466910075,"[41]"
"140","Trematomus","bernacchii","fish",21,NA,0.3,-77.498275,165.00349,"sw",15,NA,0.24,NA,0.466910075,"[41]"
"141","Gobionotothen","gibberifrons","fish",7,NA,0.3,-77.498275,165.00349,"sw",17.9,NA,0.31,NA,0.466910075,"[41]"
"142","Notothenia","coriiceps","fish",14,NA,0.3,-77.498275,165.00349,"sw",17.4,NA,0.2,NA,0.466910075,"[41]"
"143","Dascyllus","aruanus","fish",14,0.31,0.31,-5.464722,123.789,"sw",40.5,12,0.39,0.33,1.006628034,"[38]"
"144","Lycodichthys","dearbornii","fish",21,NA,0.3,-77.498275,165.00349,"sw",15.4,NA,0.34,NA,0.466910075,"[41]"
"145","Pachycara","branchycephalum","fish",21,NA,0.3,-77.498275,165.00349,"sw",17.2,NA,0.46,NA,0.466910075,"[41]"
"146","Dasyatis","sabina","fish",20,0.3,0.3,29.805767,-85.354374,"sw",43.2,0.8,0.31,0.41,4.381008048,"[42]"
"147","Campostoma","anomalum","fish",14,NA,1,39.516667,-84.708333,"fw",35.8,NA,0.45,NA,9.098,"[43]"
"148","Gila","bicolor","fish",7,0.14,0.14,35.650789,-117.66173,"fw",36.2,2.8,0.23,0.37,8.042,"[44]"
"149","Pimephales","promelas","fish",7,NA,0.3,33.214841,-97.133068,"fw",40.4,NA,0.45,NA,7.996,"[45]"
"150","Rhinichthys","osculus","fish",20,NA,0.45,43.281888,-110.019611,"fw",34.6,NA,0.03,NA,8.237,"[46]"
"151","Rhinichthys","osculus","fish",20,NA,0.45,42.866111,-109.864722,"fw",34.9,NA,0.33,NA,9.164,"[46]"
